Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
Unity Hub,,Dominio,Sí,Permitir,No,C:\Program Files\Unity Hub\Unity Hub.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Unity Hub,,Privado, Público,Sí,Permitir,No,C:\program files\unity hub\unity hub.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
VBAN2MIDI converter,,Privado, Público,Sí,Permitir,No,C:\program files (x86)\vb\voicemeeter\vban2midi.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
VBAN2MIDI converter,,Privado, Público,Sí,Permitir,No,C:\program files (x86)\vb\voicemeeter\vban2midi.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Visual Studio Code,,Privado, Público,Sí,Permitir,No,C:\program files\microsoft vs code\code.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Visual Studio Code,,Privado, Público,Sí,Permitir,No,C:\program files\microsoft vs code\code.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Visual Studio Live Share Agent,,Privado,Sí,Bloquear,No,C:\program files (x86)\microsoft visual studio\2019\enterprise\common7\ide\extensions\microsoft\liveshare\agent\vsls-agent.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Visual Studio Live Share Agent,,Privado,Sí,Bloquear,No,C:\program files (x86)\microsoft visual studio\2019\enterprise\common7\ide\extensions\microsoft\liveshare\agent\vsls-agent.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
VLC media player,,Privado, Público,Sí,Permitir,No,C:\program files\videolan\vlc\vlc.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
VLC media player,,Privado, Público,Sí,Permitir,No,C:\program files\videolan\vlc\vlc.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
